id,Time,acc_x,acc_y,acc_z,gy_x,gy_y,gy_z,exercise
0,2021-06-21 16:49:02:79868,0.8367554081632652,-0.45243881632653055,-0.37992163265306117,1.26,2.38,-1.26,두손
0,2021-06-21 16:49:02:81833,0.8291862244897958,-0.439742193877551,-0.3865141020408163,1.05,1.89,-1.19,두손
0,2021-06-21 16:49:02:83803,0.824547244897959,-0.4385213265306122,-0.39872234693877545,0.63,0.84000003,-0.91,두손
0,2021-06-21 16:49:02:85886,0.8326045918367346,-0.43925387755102036,-0.39286240816326534,0.07,1.05,-0.84000003,두손
0,2021-06-21 16:49:02:87786,0.8384644897959184,-0.44096300000000005,-0.3894441020408163,-0.28,1.61,-0.84000003,두손
0,2021-06-21 16:49:02:89866,0.8355345918367346,-0.43998640816326523,-0.3884674285714285,-0.07,2.03,-0.98,두손
0,2021-06-21 16:49:02:9183,0.8345579591836734,-0.4497529591836735,-0.3894441020408163,-0.21000001,2.8,-0.7,두손
0,2021-06-21 16:49:02:93824,0.8438362244897958,-0.45268295918367346,-0.3918857142857143,0.07,2.94,-0.7,두손
0,2021-06-21 16:49:02:95867,0.840417857142857,-0.4499971428571428,-0.3887115918367347,1.4,2.8700001,0.77,두손
0,2021-06-21 16:49:02:9782,0.8382204591836734,-0.44633466326530613,-0.38211912244897955,2.31,2.94,1.61,두손
0,2021-06-21 16:49:02:99828,0.8321162244897958,-0.4499971428571428,-0.3865141020408163,1.12,2.59,2.24,두손
0,2021-06-21 16:49:03:01788,0.8406620408163265,-0.439009693877551,-0.3899323979591836,-0.63,2.73,1.89,두손
0,2021-06-21 16:49:03:03862,0.8306513265306121,-0.44291632653061225,-0.38285163265306116,-1.05,3.08,1.26,두손
0,2021-06-21 16:49:03:05858,0.8286979591836734,-0.4497529591836735,-0.3804099795918367,-1.19,2.38,1.89,두손
0,2021-06-21 16:49:03:07822,0.8301629591836734,-0.4353472142857143,-0.3872466122448979,-1.96,-0.49,2.52,두손
